type, Node,Node Interface,Leaf IP Address,Peer Node,Peer Interface,Peer IP Address
l3leaf,LEAF1A,Ethernet1,10.2.1.17/31,spine,SPINE1,Ethernet1,10.2.1.16/31
l3leaf,LEAF1A,Ethernet2,10.2.1.19/31,spine,SPINE2,Ethernet1,10.2.1.18/31
l3leaf,LEAF2A,Ethernet1,10.2.1.73/31,spine,SPINE1,Ethernet2,10.2.1.72/31
l3leaf,LEAF2A,Ethernet2,10.2.1.75/31,spine,SPINE2,Ethernet2,10.2.1.74/31
l3leaf,LEAF2B,Ethernet1,10.2.1.77/31,spine,SPINE1,Ethernet3,10.2.1.76/31
l3leaf,LEAF2B,Ethernet2,10.2.1.79/31,spine,SPINE2,Ethernet3,10.2.1.78/31
